timestamp,influent_temp,backwash_pressure,influent_pressure,effluent_weight,backwash_weight
1751384713.8815417,20.5,3.21,3.21,123.45,54.32
1751384714.191027,20.5,3.21,3.21,123.45,54.32
1751384714.5931275,20.5,3.21,3.21,123.45,54.32
1751384714.8948607,20.5,3.21,3.21,123.45,54.32
1751384715.1960695,20.5,3.21,3.21,123.45,54.32
1751384715.4977536,20.5,3.21,3.21,123.45,54.32
1751384715.7988741,20.5,3.21,3.21,123.45,54.32
1751384716.100237,20.5,3.21,3.21,123.45,54.32
1751384716.4014463,20.5,3.21,3.21,123.45,54.32
1751384716.7032244,20.5,3.21,3.21,123.45,54.32
